,isoID,ISO Percentile,ISO Poss,ISO PPP,ISO FG PCT
0,201935,0.915,0.45,1.124,0.407
1,201566,0.522,0.25,0.866,0.419
2,203081,0.87,0.179,1.073,0.46
3,2544,0.593,0.175,0.9,0.393
4,1629029,0.818,0.15,1.019,0.412
5,1628369,0.757,0.158,0.996,0.408
6,203507,0.583,0.149,0.895,0.434
7,202695,0.846,0.147,1.052,0.471
8,201942,0.923,0.139,1.133,0.513
9,1627783,0.567,0.176,0.88,0.388
10,101108,0.753,0.179,0.99,0.416
11,203915,0.688,0.148,0.951,0.366
12,1626164,0.68,0.114,0.945,0.423
13,1628983,0.8,0.142,1.0,0.427
14,1627742,0.709,0.134,0.958,0.453
15,203468,0.563,0.133,0.88,0.413
16,203897,0.619,0.114,0.914,0.351
17,203944,0.263,0.151,0.755,0.378
18,203114,0.737,0.129,0.98,0.405
19,1629027,0.733,0.085,0.973,0.4
20,203085,0.834,0.228,1.037,0.436
21,203078,0.587,0.092,0.897,0.407
22,201950,0.883,0.098,1.081,0.495
23,1627763,0.629,0.151,0.917,0.431
24,1627747,0.312,0.182,0.775,0.306
25,203471,0.814,0.1,1.008,0.478
26,1629012,0.8,0.091,1.0,0.443
27,1628368,0.692,0.111,0.952,0.469
28,1628378,0.644,0.077,0.922,0.381
29,203076,0.713,0.082,0.958,0.396
30,202699,0.413,0.102,0.813,0.372
31,1629672,0.749,0.137,0.982,0.483
32,202711,0.64,0.095,0.922,0.391
33,202710,0.7,0.097,0.954,0.418
34,2546,0.51,0.126,0.858,0.373
35,1626149,0.842,0.092,1.041,0.52
36,201568,0.729,0.097,0.969,0.359
37,1629630,0.348,0.09,0.795,0.363
38,203999,0.826,0.063,1.022,0.5
39,202339,0.887,0.089,1.083,0.509
40,202331,0.235,0.114,0.746,0.303
41,201565,0.878,0.084,1.077,0.493
42,203954,0.469,0.083,0.842,0.437
43,1626156,0.83,0.095,1.026,0.412
44,202689,0.838,0.067,1.041,0.421
45,1629014,0.8,0.118,1.0,0.385
46,1626179,0.571,0.074,0.882,0.351
47,1627741,0.543,0.062,0.872,0.39
48,202694,0.717,0.098,0.961,0.409
49,202397,0.684,0.094,0.948,0.464
50,1628389,0.397,0.076,0.809,0.443
51,203952,0.361,0.091,0.8,0.383
52,202681,0.858,0.129,1.061,0.466
53,1627750,0.494,0.075,0.854,0.392
54,1627759,0.429,0.074,0.819,0.375
55,101150,0.295,0.07,0.773,0.338
56,1628984,0.202,0.079,0.694,0.259
57,201952,0.462,0.174,0.837,0.397
58,203903,0.866,0.097,1.066,0.52
59,203084,0.361,0.08,0.8,0.352
60,202330,0.943,0.063,1.148,0.535
61,1627749,0.385,0.095,0.805,0.441
62,200752,0.328,0.106,0.785,0.381
63,1629645,0.381,0.136,0.803,0.365
64,1627832,0.405,0.076,0.811,0.354
65,200768,0.526,0.061,0.868,0.373
66,1626156,0.964,0.161,1.289,0.463
67,1628991,0.665,0.064,0.933,0.447
68,202684,0.575,0.085,0.889,0.423
69,1626157,0.911,0.06,1.122,0.486
70,203501,0.451,0.064,0.833,0.317
71,201609,0.919,0.048,1.128,0.486
72,1628988,0.745,0.077,0.981,0.468
73,203992,0.676,0.059,0.944,0.408
74,1628398,0.162,0.096,0.646,0.313
75,201569,0.822,0.09,1.02,0.5
76,1627732,0.741,0.052,0.98,0.567
77,201144,0.891,0.061,1.091,0.529
78,202692,0.547,0.071,0.873,0.295
79,203083,0.344,0.063,0.787,0.4
80,203115,0.393,0.064,0.807,0.34
81,1629632,0.335,0.059,0.786,0.353
82,201567,0.514,0.052,0.86,0.405
83,203933,0.478,0.044,0.843,0.432
84,203935,0.409,0.062,0.811,0.333
85,1629636,0.255,0.065,0.754,0.326
86,203903,0.615,0.116,0.913,0.375
87,1629628,0.171,0.065,0.667,0.304
88,203932,0.259,0.055,0.755,0.31
89,204456,0.992,0.049,1.5,0.76
90,204060,0.85,0.05,1.054,0.375
91,1629134,0.227,0.05,0.736,0.348
92,1629673,0.267,0.08,0.755,0.333
93,1629060,0.65,0.059,0.923,0.464
94,203918,0.98,0.119,1.417,0.636
95,1629631,0.8,0.04,1.0,0.5
96,203895,0.579,0.097,0.895,0.367
97,203087,0.401,0.073,0.81,0.351
98,203095,0.295,0.038,0.773,0.438
99,1628970,0.295,0.049,0.773,0.4
100,202692,0.996,0.106,1.524,0.579
101,1627752,0.324,0.045,0.78,0.351
102,1628415,0.113,0.042,0.604,0.244
103,200765,0.308,0.091,0.775,0.353
104,1626153,0.672,0.06,0.938,0.385
105,1629633,0.206,0.061,0.698,0.375
106,1626196,0.907,0.032,1.115,0.458
107,203552,0.8,0.042,1.0,0.44
108,203924,0.599,0.04,0.903,0.36
109,1628372,0.435,0.116,0.824,0.429
110,200794,0.317,0.063,0.778,0.375
111,201588,0.724,0.059,0.964,0.385
112,203107,0.724,0.038,0.964,0.444
113,1626162,0.538,0.031,0.871,0.375
114,204001,0.081,0.042,0.542,0.268
115,1629008,0.927,0.047,1.136,0.438
116,201933,0.389,0.093,0.806,0.28
117,1626144,0.502,0.063,0.857,0.476
118,1626171,0.361,0.043,0.8,0.4
119,1626188,0.947,0.079,1.15,0.579
120,1628978,0.636,0.039,0.92,0.368
121,1629018,0.275,0.062,0.767,0.345
122,200826,0.219,0.125,0.719,0.321
123,1629033,0.271,0.149,0.759,0.346
124,1626174,0.118,0.052,0.611,0.333
125,201571,0.105,0.061,0.595,0.16
126,1629056,0.968,0.03,1.313,0.538
127,1626178,0.96,0.038,1.235,0.571
128,1626181,0.903,0.026,1.105,0.5
129,201937,0.704,0.023,0.955,0.353
130,201976,0.555,0.056,0.875,0.45
131,1629627,0.555,0.048,0.875,0.5
132,202693,0.951,0.034,1.176,0.533
133,1626204,0.696,0.04,0.952,0.5
134,202734,0.533,0.047,0.87,0.409
135,1629023,0.533,0.031,0.87,0.545
136,201952,0.451,0.104,0.833,0.389
137,1628971,0.282,0.043,0.769,0.316
138,1628972,0.231,0.035,0.741,0.348
139,202709,0.158,0.059,0.645,0.333
140,201584,1.0,0.115,1.727,0.818
141,1627739,0.8,0.044,1.0,0.643
142,203894,0.518,0.056,0.864,0.412
143,202685,0.441,0.024,0.826,0.563
144,1628370,0.138,0.049,0.633,0.192
145,1629067,0.955,0.046,1.2,0.6
146,203953,0.854,0.035,1.059,0.5
147,1628385,0.593,0.063,0.9,0.5
148,1629021,0.502,0.055,0.857,0.308
149,1629016,0.502,0.054,0.857,0.474
150,1628973,0.42,0.045,0.818,0.389
151,1629639,0.198,0.034,0.692,0.273
152,202066,0.15,0.041,0.643,0.28
153,200755,0.862,0.021,1.063,0.571
154,1628420,0.486,0.031,0.85,0.444
155,203524,0.486,0.069,0.85,0.389
156,1628365,0.486,0.02,0.85,0.615
157,203901,0.295,0.038,0.773,0.389
158,202357,0.178,0.032,0.68,0.389
159,203082,0.166,0.027,0.654,0.333
160,1628366,0.065,0.036,0.515,0.214
161,1629164,0.984,0.047,1.455,0.7
162,1628381,0.939,0.019,1.143,0.5
163,203496,0.939,0.023,1.143,0.5
164,1628422,0.939,0.044,1.143,0.462
165,203952,0.469,0.081,0.842,0.412
166,1629647,0.469,0.049,0.842,0.375
167,1628401,0.361,0.027,0.8,0.429
168,203487,0.361,0.056,0.8,0.316
169,1628407,0.223,0.073,0.727,0.389
170,1629629,0.142,0.035,0.64,0.333
171,201143,0.142,0.03,0.64,0.292
172,203506,0.069,0.094,0.533,0.273
173,1629006,0.992,0.018,1.5,0.667
174,1629638,0.451,0.054,0.833,0.375
175,203937,0.242,0.047,0.75,0.429
176,200746,0.211,0.022,0.714,0.333
177,1629065,0.101,0.064,0.577,0.176
178,1629162,0.976,0.045,1.4,0.75
179,203504,0.976,0.069,1.4,0.714
180,1628402,0.878,0.032,1.077,0.5
181,1626209,0.8,0.049,1.0,0.444
182,1628379,0.665,0.036,0.933,0.4
183,203486,0.665,0.034,0.933,0.4
184,201572,0.555,0.02,0.875,0.3
185,1628373,0.435,0.04,0.824,0.5
186,1629001,0.317,0.033,0.778,0.353
187,203922,0.171,0.036,0.667,0.333
188,1627812,0.8,0.056,1.0,0.5
189,1629022,0.8,0.03,1.0,0.462
190,1629185,0.656,0.108,0.929,0.357
191,1628963,0.183,0.095,0.684,0.353
192,203894,0.13,0.083,0.619,0.294
193,1629058,0.8,0.051,1.0,0.333
194,203469,0.65,0.021,0.923,0.333
195,202083,0.361,0.031,0.8,0.1
196,203500,0.361,0.022,0.8,0.455
197,1627885,0.242,0.077,0.75,0.333
198,203967,0.242,0.023,0.75,0.417
199,1713,0.898,0.029,1.1,0.375
200,203503,0.898,0.024,1.1,0.625
201,1628371,0.8,0.026,1.0,0.455
202,1628975,0.8,0.038,1.0,0.333
203,201949,0.629,0.068,0.917,0.375
204,1629019,0.629,0.081,0.917,0.429
205,202738,0.335,0.026,0.786,0.333
206,1628989,0.191,0.022,0.688,0.313
207,1628408,0.191,0.081,0.688,0.313
208,203526,0.118,0.062,0.611,0.313
209,1628367,0.8,0.049,1.0,0.286
210,1629635,0.608,0.038,0.909,0.5
211,1627863,0.608,0.017,0.909,0.364
212,1628374,0.451,0.016,0.833,0.417
213,203914,0.282,0.021,0.769,0.333
214,203145,0.282,0.048,0.769,0.222
215,203110,0.211,0.031,0.714,0.273
216,202704,0.134,0.068,0.625,0.267
217,1628384,0.093,0.026,0.556,0.444
218,1629741,0.093,0.089,0.556,0.188
219,1626145,0.04,0.041,0.476,0.235
220,1627936,0.42,0.028,0.818,0.286
221,1629725,0.42,0.172,0.818,0.364
222,1627736,0.242,0.045,0.75,0.333
223,203083,0.15,0.093,0.643,0.4
224,201988,0.109,0.022,0.6,0.273
225,202694,0.036,0.097,0.45,0.167
226,1627737,0.126,0.024,0.615,0.25
227,1629634,0.069,0.026,0.533,0.308
228,202355,0.069,0.016,0.533,0.333
229,202954,0.045,0.032,0.5,0.091
230,1628977,0.045,0.037,0.5,0.25
231,201580,0.085,0.028,0.545,0.375
232,202704,0.085,0.067,0.545,0.2
233,1627734,0.045,0.01,0.5,0.273
234,1629059,0.02,0.06,0.4,0.3
235,1626161,0.0,0.063,0.3,0.125
236,1627756,0.045,0.038,0.5,0.222
237,1626143,0.045,0.044,0.5,0.222
238,1629675,0.008,0.053,0.333,0.154
239,1628995,0.008,0.03,0.333,0.0
240,1628410,0.02,0.056,0.4,0.286
241,1628425,0.02,0.032,0.4,0.25
242,1627788,0.0,0.015,0.3,0.0
